Authors,Title,Link,Abstract,Author Keywords
"Gou C., Wu Y., Wang K., Wang K., Wang F.-Y., Ji Q.","A joint cascaded framework for simultaneous eye detection and eye state estimation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016162115&doi=10.1016%2fj.patcog.2017.01.023&partnerID=40&md5=4e520139493216b3785525d52be121fa","Eye detection and eye state (close/open) estimation are important for a wide range of applications, including iris recognition, visual interaction and driver fatigue detection. Current work typically performs eye detection first, followed by eye state estimation by a separate classifier. Such an approach fails to capture the interactions between eye location and its state. In this paper, we propose a method for simultaneous eye detection and eye state estimation. Based on a cascade regression framework, our method iteratively estimates the location of the eye and the probability of the eye being occluded by eyelid. At each iteration of cascaded regression, image features from the eye center as well as contextual image features from eyelid and eye corners are jointly used to estimate the eye position and openness probability. Using the eye openness probability, the most likely eye state can be estimated. Since it requires large number of facial images with labeled eye related landmarks, we propose to combine the real and synthetic images for training. It further improves the performance by utilizing this learning-by-synthesis method. Evaluations of our method on benchmark databases such as BioID and Gi4E database as well as on real world driving videos demonstrate its superior performance comparing to state-of-the-art methods for both eye detection and eye state estimation. © 2017 Elsevier Ltd","Cascade regression framework; Eye detection; Eye state estimation; Learning-by-synthesis"
"Rathod H., Ware Y., Sane S., Raulo S., Pakhare V., Rizvi I.A.","Automated attendance system using machine learning approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022053578&doi=10.1109%2fICNTE.2017.7947889&partnerID=40&md5=199acf2399cd6e955b24ea92409add01","The conventional method of taking attendance is done manually by the teacher or the administrator which requires considerable amount of time and efforts also involving errors and proxy attendance. As the number of students are increasing day by day, it is a challenging task for universities or colleges to monitor and maintain the record of the students. Automated systems involving use of biometrics like fingerprint and iris recognition are well developed in the recent years however, it is intrusive and cost required for deployment on large scale gets increased substantially. To overcome these issues, biometric feature like facial recognition can be used which involves the phases such as image acquisition, face detection, feature extraction, face classification, face recognition and eventually marking the attendance. The algorithms like Viola-Jones and HOG features along with SVM classifier are used to acquire the desired results. Various real time scenarios need to be considered such as scaling, illumination, occlusions and pose. The problem of redundancy in manual records and keeping attendance is solved by this system. Quantitative analysis is done on the basis of PSNR values. © 2017 IEEE.","Face Recognition; Histogram of Oriented Gradients (HOG); Peak Signal to Noise Ratio (PSNR); Support Vector Machine (SVM)"
"Sepas-Moghaddam A., Chiesa V., Correia P.L., Pereira F., Dugelay J.-L.","The IST-EURECOM Light Field Face Database","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021833322&doi=10.1109%2fIWBF.2017.7935086&partnerID=40&md5=f061a85d6364ce7d5634ae9995857c3e","Light field cameras are emerging as powerful devices to capture rich scene representations that provide unique advantages for analysis and representation purposes. Some recent works have shown the power and usefulness of the richer information carried out by light field imaging, notably for face recognition. However, it is still difficult to fully assess how face recognition technology can benefit from these novel imaging sensors, notably due to the lack of appropriate test material. To support face recognition research exploiting light field images, the IST-EURECOM Light Field Face Database (IST-EURECOM LFFD) is presented in this paper. The purpose is to report the public availability of a light field face database which should be instrumental for designing, testing and validating light field imaging based recognition systems. The proposed face database includes data from 100 subjects, captured by a Lytro ILLUM camera in two 1-6 months separated sessions, with 20 samples per each person per session. To simulate multiple scenarios, the images are captured with several facial variations, covering a range of emotions, actions, poses, illuminations, and occlusions. The database includes the raw light field images, 2D rendered images and associated depth maps, along with a rich set of metadata. The IST-EURECOM LFFD is expected to become a valuable addition to existing face database repositories. © 2017 IEEE.","Face Database; Face Recognition; Light Field Imaging"
"Cheheb I., Al-Maadeed N., Al-Madeed S., Bouridane A., Jiang R.","Random sampling for patch-based face recognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021840286&doi=10.1109%2fIWBF.2017.7935104&partnerID=40&md5=05307af561f25a7e8773290068b3a67d","Real face recognition is a challenging problem especially when face images are subject to distortions. This paper presents an approach to tackle partial occlusion distortions present in real face recognition using a single training sample per person. First, original images are partitioned into multiple blocks and Local Binary Patterns are applied as a local descriptor on each block separately. Then, a dimensionality reduction of the resulting descriptors is carried out using Kernel Principle Component Analysis. Once done, a random sampling method is used to select patches at random and hence build several sub-SVM classifiers. Finally, the results from each sub-classifier are combined in order to increase the recognition performance. To demonstrate the usefulness of the approach, experiments were carried on the AR Face Database and obtained results have shown the effectiveness of our technique. © 2017 IEEE.",
"Huwedi A.S., Selem H.M.","Face recognition using Regularized Linear Discriminant Analysis under occlusions and illumination variations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020693221&doi=10.1109%2fCEIT.2016.7929029&partnerID=40&md5=966c7ddfa50d4e9b092f0f44310923d9","In recent years face recognition has received substantial attention from researchers in biometrics, pattern recognition, and computer vision communities. At least two reasons account for this trend: the first is the wide range of commercial and law enforcement applications, and the second is the availability of feasible technologies in recent years of research. Many existing methods in face recognition area perform well under certain conditions, but still facing challenging with illumination changes and occlusions. This paper attempts to deal with the above challenges by combining robust illumination normalization techniques with powerful feature extraction method. © 2016 IEEE.","Cosine distance; Face Recognition; Feature extraction; RLDA; Small Sample Size (sss) problem; Wavelet Analysis; Wavelet-based image De-noising"
"Choudhary A., Vig R.","Face recognition using multiresolution wavelet combining discrete cosine transform and Walsh transform","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021401213&doi=10.1145%2f3077829.3077835&partnerID=40&md5=6eac97a290aa5bfc10b4f06ded90836f","In this paper a face recognition system based on multi resolution hybrid wavelet approach has been presented. The multi resolution hybrid wavelet transform matrix is generated using Kronecker product of Walsh and DCT transform matrices. This wavelet is used to extract features from face images with different expressions of subjects' faces. A feature map is generated using energy compaction technique which is used as a template to extract features of enrolled and test images. The experiments are performed on faces94 database with different variations in facial expression, change in face position and occlusion. The recognition rates achieved are 99.24%. © 2017 Association for Computing Machinery.","Discrete cosine transform(DCT); Face recognition; Multiresolution hybrid wavelet; Walsh transform"
"Gonzalez-Sosa E., Dantcheva A., Vera-Rodriguez R., Dugelay J.-L., Bremond F., Fierrez J.","Image-based gender estimation from body and face across distances","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019066667&doi=10.1109%2fICPR.2016.7900104&partnerID=40&md5=067995f14d14a28210239c60ac153751","Gender estimation has received increased attention due to its use in a number of pertinent security and commercial applications. Automated gender estimation algorithms are mainly based on extracting representative features from face images. In this work we study gender estimation based on information deduced jointly from face and body, extracted from single-shot images. The approach addresses challenging settings such as low-resolution-images, as well as settings when faces are occluded. Specifically the face-based features include local binary patterns (LBP) and scale-invariant feature transform (SIFT) features, projected into a PCA space. The features of the novel body-based algorithm proposed in this work include continuous shape information extracted from body silhouettes and texture information retained by HOG descriptors. Support Vector Machines (SVMs) are used for classification for body and face features. We conduct experiments on images extracted from video-sequences of the Multi-Biometric Tunnel database, emphasizing on three distance-settings: close, medium and far, ranging from full body exposure (far setting) to head and shoulders exposure (close setting). The experiments suggest that while face-based gender estimation performs best in the close-distance-setting, body-based gender estimation performs best when a large part of the body is visible. Finally we present two score-level-fusion schemes of face and body-based features, outperforming the two individual modalities in most cases. © 2016 IEEE.",
"Liu H., Lu J., Feng J., Zhou J.","Learning deep sharable and structural detectors for face alignment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015768126&doi=10.1109%2fTIP.2017.2657118&partnerID=40&md5=fad35706fae9d06b39d2fb9f8079bb7a","Face alignment aims at localizing multiple facial landmarks for a given facial image, which usually suffers from large variances of diverse facial expressions, aspect ratios and partial occlusions, especially when face images were captured in wild conditions. Conventional face alignment methods extract local features and then directly concatenate these features for global shape regression. Unlike these methods which cannot explicitly model the correlation of neighbouring landmarks and motivated by the fact that individual landmarks are usually correlated, we propose a deep sharable and structural detectors (DSSD) method for face alignment. To achieve this, we firstly develop a structural feature learning method to explicitly exploit the correlation of neighbouring landmarks, which learns to cover semantic information to disambiguate the neighbouring landmarks. Moreover, our model selectively learns a subset of sharable latent tasks across neighbouring landmarks under the paradigm of the multi-task learning framework, so that the redundancy information of the overlapped patches can be efficiently removed. To better improve the performance, we extend our DSSD to a recurrent DSSD (R-DSSD) architecture by integrating with the complementary information from multi-scale perspectives. Experimental results on the widely used benchmark datasets show that our methods achieve very competitive performance compared to the state-of-the-arts. © 1992-2012 IEEE.","biometrics; deep learning; Face alignment"
"Tripathi B.K.","On the complex domain deep machine learning for face recognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015831764&doi=10.1007%2fs10489-017-0902-7&partnerID=40&md5=42040ab408c86f52eb4ecb7efe27f588","Biometric based verification and recognition has become the center of attention for many significant applications for security conscious societies, as it is believed that biometrics can provide accurate and reliable identification. The face biometrics are one that possesses the merits of both high accuracy and low intrusiveness. An efficient machine recognition of human faces in big dataset is both important and challenging tasks. This paper addresses an intelligent face recognition system that is pose invariant and can recognize multi-expression, occluded and blurred faces through efficient but compact deep learning. Superior functionality of neural network in a complex domain has been observed in recent researches. My work presents a new approach, which is the fusion of higher-order novel neuron models with multivariate statistical techniques in a complex domain with a sole goal of improving performance of biometric systems. This also aims at reducing the computational cost and providing a faster recognition system. This paper presents the formal algorithms for feature extraction with multivariate statistical techniques in complex domain and compare them their real domain counterpart. This paper also presents a classifier structure (OCON : One-Class-in-One-Neuron) which contains an ensemble of novel higher order neurons, which drastically reduces the complexity of proposed learning machine because only single neuron is sufficient to recognize a subject in the database. This novel fusion in the proposed deep learning machine has thoroughly presented its superiority over a wide spectrum of experiments. Advanced deep learning capabilities, and complex domain implementation in particular, are significantly advancing state-of-art in computer vision and pattern recognition. © 2017 Springer Science+Business Media New York","Biometrics; Complex independent component analysis (CICA); Complex principal component analysis (CPCA); One-class-in-one-neuron (OCON)"
"McLaughlin N., Ming J., Crookes D.","Largest Matching Areas for Illumination and Occlusion Robust Face Recognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960158384&doi=10.1109%2fTCYB.2016.2529300&partnerID=40&md5=a109fda84d4806feb5994c2a981fa183","In this paper, we introduce a novel approach to face recognition which simultaneously tackles three combined challenges: 1) uneven illumination; 2) partial occlusion; and 3) limited training data. The new approach performs lighting normalization, occlusion de-emphasis and finally face recognition, based on finding the largest matching area (LMA) at each point on the face, as opposed to traditional fixed-size local area-based approaches. Robustness is achieved with novel approaches for feature extraction, LMA-based face image comparison and unseen data modeling. On the extended YaleB and AR face databases for face identification, our method using only a single training image per person, outperforms other methods using a single training image, and matches or exceeds methods which require multiple training images. On the labeled faces in the wild face verification database, our method outperforms comparable unsupervised methods. We also show that the new method performs competitively even when the training images are corrupted. © 2016 IEEE.","Biometrics; face recognition; identification of persons"
"Naveen S., Rugmini K.P., Moni R.S.","3D face reconstruction by pose correction, patch cloning and texture wrapping","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014911379&doi=10.1109%2fCSN.2016.7823997&partnerID=40&md5=d83e42a8548567d921eea89900252c10","Face is being considered as one of the most commonly used biometric modality. The inaccuracy in two dimensional face recognition systems is mainly due to pose variations, occlusions, illumination etc. Among this, changes in illumination condition do not affect 3D face recognition systems. But pose variation drastically changes the appearance of face images. To solve the problems with depth map and texture images corrupted by head pose variations and the occlusions generated due to these pose variations, a reconstruction method is proposed which consist of three stages. In the first stage, the pose correction is done by Iterative Closest Point (ICP) algorithm and in the second stage the occluded region of the face is reconstructed by a resurfacing method called patch cloning. It is followed by the wrapping of reconstructed depth map by its texture to generate a 3D model. The statistical error between the original face and the reconstructed face is also evaluated. In this work, facial symmetry is used as a prior knowledge. Experiments are done with the FRAV3D database. © 2016 IEEE.","Face recognition; Face Resurfacing; ICP algorithm; Patch Cloning; Pose Correction"
"Badejo J.A., Atayero A.A., Ibiyemi T.S.","A robust preprocessing algorithm for iris segmentation from low contrast eye images","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013625210&doi=10.1109%2fFTC.2016.7821663&partnerID=40&md5=4a1c087024cea7b14e6830a3fa1b3331","Iris recognition systems offer highly accurate personal identification both on small and very-large scale systems needed in government, forensic and commercial applications. The automatic segmentation of a noise-free iris region is imperative for optimal performance of the system. However, image characteristics such as brightness and contrast, the differing levels of pigmentation, occlusion by eyelashes and/or eyelids, coupled with varying sensor and environmental conditions, makes iris segmentation a huge and difficult task. This paper proposes an image pre-processing algorithm for robust iris segmentation of low contrast images, aimed at reducing mis-localization errors of basic curve-fitting algorithms. Similar to face detection, the algorithm performs iris detection with a k-NN classifier trained with features extracted by a rotation-invariant texture descriptor based on the co-occurrence of local binary patterns. The integration of the proposed algorithm into an existing open-source iris segmentation module offered a 40% improvement in execution time; a segmentation accuracy of 92% was also recorded over 1,898 low contrast eye images acquired from African subjects. The low contrast eye images were acquired to support diversity in iris recognition. © 2016 IEEE.","Iris Dataset; Iris Detection; Iris Segmentation; Local Binary Patterns; Pattern Recognition; Texture Descriptor"
"Ouanan H., Ouanan M., Aksasse B.","Facial landmark localization: Past, present and future","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010192469&doi=10.1109%2fCIST.2016.7805097&partnerID=40&md5=8d06c27f8154628d1620f098c405b5dc","Face landmarking, defined as the detection and localization of certain keypoints points on the face, plays arguably the important role as an intermediary step for many subsequent face processing operations that ranges from biometric recognition to the understanding of mental states. Though its conceptual simplicity, the computer vision problem has proven extremely challenging due to multitude of compound factors such as pose, expression, occlusion and illumination. In this paper, we survey the recent advances of facial landmarks localization techniques and discuss the advantages and disadvantages of the presented algorithms. © 2016 IEEE.","Face Detection; face recognition; face tracking; Facial landmarks; localization"
"Savvides M., Juefei-Xu F., Prabhu U., Bhagavatula C.","Unconstrained biometric identification in real world environments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986246038&doi=10.1007%2f978-3-319-41956-5_21&partnerID=40&md5=7ebd72f6c8ec7db11aaaa8904e8e3c83","In this work, we introduce four topics that cover the most important problems and challenges for unconstrained face biometrics identification in real world environment. They are (1) off angle and occluded face recognition, (2) low resolution face recognition, (3) full craniofacial 3D modeling, and (4) hallucinating the full face from the periocular region. We will show the state-of-the-art results accordingly. © Springer International Publishing Switzerland 2017.","Occluded face recognition; Off angle face recognition; Unconstrained biometric identification; Unconstrained face recognition"
"Shwetha S., Dixit S., Khondanpur B.I.","Person recognition using surf features and Vola-jones algorithm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014955023&doi=10.1007%2f978-981-10-3156-4_56&partnerID=40&md5=200c769cb524e589cae3078ad74bc4d8","Face recognition is one of the prominent biometric software applications, which can identify specific person in a digital image by analysing few parameters and comparing them. These type of recognitions are commonly used in security systems but are used increasingly in variety of other applications. Few non static conditions like facial hair can make recognition system a serious problem. The three stages of face recognition system are facing detection, feature extraction and classification. For enhancing the face recognition from video successions against dissimilar occlusion invariant and posture is proposed by using a novel approach. This face identification system made use of Viola and Jones algorithm for face detection and SURF (Speed Up Robust Feature) for feature extraction. Classifications of these face images are done using RBF (Radial Basis Function kernel) SVM (Support Vector Machine) classifier. © Springer Nature Singapore Pte Ltd. 2017.","Face detection; Face recognition; SURF; SVM; Vola-jones algorithm"
"Tan S., Chen D., Guo C., Huang Z.","A Robust Shape Reconstruction Method for Facial Feature Point Detection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016122177&doi=10.1155%2f2017%2f4579398&partnerID=40&md5=8724a12efd94e25bd3e071a97d6de415","Facial feature point detection has been receiving great research advances in recent years. Numerous methods have been developed and applied in practical face analysis systems. However, it is still a quite challenging task because of the large variability in expression and gestures and the existence of occlusions in real-world photo shoot. In this paper, we present a robust sparse reconstruction method for the face alignment problems. Instead of a direct regression between the feature space and the shape space, the concept of shape increment reconstruction is introduced. Moreover, a set of coupled overcomplete dictionaries termed the shape increment dictionary and the local appearance dictionary are learned in a regressive manner to select robust features and fit shape increments. Additionally, to make the learned model more generalized, we select the best matched parameter set through extensive validation tests. Experimental results on three public datasets demonstrate that the proposed method achieves a better robustness over the state-of-the-art methods.",
