Authors,Title,Year,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Dora L., Agrawal S., Panda R., Abraham A.","Optimal breast cancer classification using Gauss–Newton representation based algorithm",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019364170&doi=10.1016%2fj.eswa.2017.05.035&partnerID=40&md5=5a7ed15dad727f92954a3ae0e4a909cd","Department of Electrical and Electronics Engineering, VSSUT, Burla, India; Department of Electronics and Telecommunication Engineering, VSSUT, Burla, India; Machine Intelligence Research Labs (MIR Labs), Scientific Network for Innovation and Research Excellence, Washington, United States","Dora, L., Department of Electrical and Electronics Engineering, VSSUT, Burla, India; Agrawal, S., Department of Electronics and Telecommunication Engineering, VSSUT, Burla, India; Panda, R., Department of Electronics and Telecommunication Engineering, VSSUT, Burla, India; Abraham, A., Machine Intelligence Research Labs (MIR Labs), Scientific Network for Innovation and Research Excellence, Washington, United States","Breast cancer is a decisive disease worldwide. It is one of the most widely spread cancer among women. As per the survey, one out of eight women in the world are at risk of breast cancer at some point of time in her life. One of the methods to reduce breast cancer mortality rate is timely detection and effective treatment. That is why, more accurate classification of a breast cancer tumor has become a challenging problem in the medical field. Many classification techniques are proposed in the literature. Today, expert systems and machine learning techniques are being extensively used in the breast cancer classification problem. They provide high classification accuracy and effective diagnostic capabilities. In this paper, we have proposed a novel Gauss-Newton representation based algorithm (GNRBA) for breast cancer classification. It uses the sparse representation with training sample selection. Until now, sparse representation has been successfully applied in pattern recognition only. The proposed method introduces a novel Gauss-Newton based approach to find the optimal weights for the training samples for classification. In addition, it evaluates the sparsity in a computationally efficient way as compared to the conventional l1-norm method. The effectiveness of the GNRBA is examined on the Wisconsin Breast Cancer Database (WBCD) and the Wisconsin Diagnosis Breast Cancer (WDBC) database from the UCI Machine Learning repository. Various performance measures like classification accuracy, sensitivity, specificity, confusion matrices, a statistical test and the area under the receiver operating characteristic (AUC) are reported to show the superiority of the proposed method as compared to classical models. The experimental results show that the proposed GNRBA could be a good alternative for breast cancer classification for clinical experts. © 2017 Elsevier Ltd","Breast cancer classification; Euclidean distance measure; Gauss-Newton representation based algorithm; Sparse representation","Artificial intelligence; Diagnosis; Expert systems; Gaussian distribution; Learning algorithms; Learning systems; Pattern recognition; Sampling; Breast cancer classifications; Euclidean distance measure; Gauss Newton; Gauss-Newton based approach; Machine learning techniques; Receiver operating characteristics; Sparse representation; UCI machine learning repository; Diseases"
"Soriano Marcolino L., Lakshminarayanan A.S., Nagarajan V., Tambe M.","Every team deserves a second chance: an extended study on predicting team performance",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991408352&doi=10.1007%2fs10458-016-9348-2&partnerID=40&md5=6f3f40d9ab995ece47037aca9662e977","Lancaster University, Lancaster, Lancashire, LA1 4WA, United Kingdom; Indian Institute of Technology Madras, Chennai, Tamil Nadu, India; Carnegie Mellon University, Pittsburgh, PA, United States; University of Southern California, Los Angeles, CA, United States","Soriano Marcolino, L., Lancaster University, Lancaster, Lancashire, LA1 4WA, United Kingdom; Lakshminarayanan, A.S., Indian Institute of Technology Madras, Chennai, Tamil Nadu, India; Nagarajan, V., Carnegie Mellon University, Pittsburgh, PA, United States; Tambe, M., University of Southern California, Los Angeles, CA, United States","Voting among different agents is a powerful tool in problem solving, and it has been widely applied to improve the performance in finding the correct answer to complex problems. We present a novel benefit of voting, that has not been observed before: we can use the voting patterns to assess the performance of a team and predict their final outcome. This prediction can be executed at any moment during problem-solving and it is completely domain independent. Hence, it can be used to identify when a team is failing, allowing an operator to take remedial procedures (such as changing team members, the voting rule, or increasing the allocation of resources). We present three main theoretical results: (1) we show a theoretical explanation of why our prediction method works; (2) contrary to what would be expected based on a simpler explanation using classical voting models, we show that we can make accurate predictions irrespective of the strength (i.e., performance) of the teams, and that in fact, the prediction can work better for diverse teams composed of different agents than uniform teams made of copies of the best agent; (3) we show that the quality of our prediction increases with the size of the action space. We perform extensive experimentation in two different domains: Computer Go and Ensemble Learning. In Computer Go, we obtain high quality predictions about the final outcome of games. We analyze the prediction accuracy for three different teams with different levels of diversity and strength, and show that the prediction works significantly better for a diverse team. Additionally, we show that our method still works well when trained with games against one adversary, but tested with games against another, showing the generality of the learned functions. Moreover, we evaluate four different board sizes, and experimentally confirm better predictions in larger board sizes. We analyze in detail the learned prediction functions, and how they change according to each team and action space size. In order to show that our method is domain independent, we also present results in Ensemble Learning, where we make online predictions about the performance of a team of classifiers, while they are voting to classify sets of items. We study a set of classical classification algorithms from machine learning, in a data-set of hand-written digits, and we are able to make high-quality predictions about the final performance of two different teams. Since our approach is domain independent, it can be easily applied to a variety of other domains. © 2016, The Author(s).","Collective intelligence; Distributed problem solving; Single and multiagent learning; Social choice theory; Teamwork","Artificial intelligence; Classification (of information); Computer games; Forecasting; Learning systems; Multi agent systems; Collective intelligences; Distributed problem solving; Multi-agent learning; Social choice theory; Teamwork; Problem solving"
"Burton E., Goldsmith J., Koenig S., Kuipers B., Mattei N., Walsh T.","Ethical considerations in artificial intelligence courses",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021657582&partnerID=40&md5=1fd47bdebe79779582df9396e2c0dc45","University of Kentucky's Department of Computer Science, United Kingdom; University of Kentucky, United Kingdom; University of Southern California, United States; University of Michigan, United States; IBM TJ Watson Research Laboratory, India; University of New South Wales, Australia","Burton, E., University of Kentucky's Department of Computer Science, United Kingdom; Goldsmith, J., University of Kentucky, United Kingdom; Koenig, S., University of Southern California, United States; Kuipers, B., University of Michigan, United States; Mattei, N., IBM TJ Watson Research Laboratory, India; Walsh, T., University of New South Wales, Australia","The recent surge in interest in ethics in artificial intelligence (AI) may leave many educators wondering how to address moral, ethical, and philosophical issues in their AI courses. As instructors we want to develop curriculum that not only prepares students to be AI practitioners, but also to understand the moral, ethical, and philosophical impacts that AI will have on society. In this article we provide practical case studies and links to resources for use by AI educators. We also provide concrete suggestions on how to integrate AI ethics into a general AI course and how to teach a stand-Alone AI ethics course. © 2017, Association for the Advancement of Artificial Intelligence.",,"Artificial intelligence; Curricula; Education; Teaching; AI course; Artificial intelligence course; Case-studies; Ethical considerations; Stand -alone; Philosophical aspects"
"Coelho A., Marques P., Magalhães R., Sousa N., Neves J., Alves V.","A knowledge representation and reasoning system for multimodal neuroimaging studies",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015990299&doi=10.4114%2fintartif.vol20iss59pp42-52&partnerID=40&md5=28eb2e8e0dc1ea4220705fd8e6f44a03","Algorithm Centre, University of Minho, Braga, Portugal; Life and Health Sciences Research Institute (ICVS), School of Medicine, University of Minho, Braga, Portugal; ICVS/3B’s-PT Government Associate Laboratory, Braga/Guimarães, Portugal","Coelho, A., Algorithm Centre, University of Minho, Braga, Portugal; Marques, P., Life and Health Sciences Research Institute (ICVS), School of Medicine, University of Minho, Braga, Portugal, ICVS/3B’s-PT Government Associate Laboratory, Braga/Guimarães, Portugal; Magalhães, R., Life and Health Sciences Research Institute (ICVS), School of Medicine, University of Minho, Braga, Portugal, ICVS/3B’s-PT Government Associate Laboratory, Braga/Guimarães, Portugal; Sousa, N., Life and Health Sciences Research Institute (ICVS), School of Medicine, University of Minho, Braga, Portugal, ICVS/3B’s-PT Government Associate Laboratory, Braga/Guimarães, Portugal; Neves, J., Algorithm Centre, University of Minho, Braga, Portugal; Alves, V., Algorithm Centre, University of Minho, Braga, Portugal","Multimodal neuroimaging analyses are of major interest for both research and clinical practice, enabling the combined evaluation of the structure and function of the human brain. These analyses generate large volumes of data and consequently increase the amount of possibly useful information. Indeed, BrainArchive was developed in order to organize, maintain and share this complex array of neuroimaging data. It stores all the information available for each participant/patient, being dynamic by nature. Notably, the application of reasoning systems to this multimodal data has the potential to provide tools for the identification of undiagnosed diseases. As a matter of fact, in this work we explore how Artificial Intelligence techniques for decision support work, namely Case-Based Reasoning (CBR) that may be used to achieve such endeavour. Particularly, it is proposed a reasoning system that uses the information stored in BrainArchive as past knowledge for the identification of individuals that are at risk of contracting some brain disease. © IBERAMIA and the authors.","Artificial intelligence; Case-based reasoning; Multimodal neuroimaging","Artificial intelligence; Decision support systems; Deep neural networks; Knowledge representation; Neuroimaging; Artificial intelligence techniques; Casebased reasonings (CBR); Clinical practices; Decision supports; Identification of individuals; Knowledge representation and reasoning; Multi-modal; Neuroimaging Analysis; Case based reasoning"
"Sintov N., Kar D., Nguyen T., Fang F., Hoffman K., Lyet A., Tambe M.","Keeping it real: Using real-world problems to teach ai to diverse audiences",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021691763&partnerID=40&md5=6bb63741d99cbe9d019e647d95b6d88e","Ohio State University's School of Environment and Natural Resources, United States; University of Southern California, United States; University of Michigan, United States; Center for Research on Computation and Society (CRCS), Harvard University, Carnegie Mellon University, United States; Aspire Public Schools in OaklandCA, United States; World Wildlife Fund, Switzerland; CAIS, University of Southern California Center, United States","Sintov, N., Ohio State University's School of Environment and Natural Resources, United States; Kar, D., University of Southern California, United States; Nguyen, T., University of Michigan, United States; Fang, F., Center for Research on Computation and Society (CRCS), Harvard University, Carnegie Mellon University, United States; Hoffman, K., Aspire Public Schools in OaklandCA, United States; Lyet, A., World Wildlife Fund, Switzerland; Tambe, M., CAIS, University of Southern California Center, United States","In recent years, AI-based applications have increasingly been used in real-world domains. For example, game theory-based decision AIDS have been successfully deployed in various security settings to protect ports, airports, and wildlife. This article describes our unique problem-To-project educational approach that used games rooted in real-world issues to teach AI concepts to diverse audiences. Specifically, our educational program began by presenting real-world security issues, and progressively introduced complex AI concepts using lectures, interactive exercises, and ultimately hands-on games to promote learning. We describe our experience in applying this approach to several audiences, including students of an urban public high school, university undergraduates, and security domain experts who protect wildlife. We evaluated our approach based on results from the games and participant surveys. © 2017, Association for the Advancement of Artificial Intelligence.",,"Animals; Decision theory; Education; Surveys; Educational approach; Educational program; Interactive exercise; Real world domain; Real-world problem; Security domains; Security issues; Security settings; Airport security"
"Suk H.-I., Lee S.-W., Shen D.","Deep ensemble learning of sparse regression models for brain disease diagnosis",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012254441&doi=10.1016%2fj.media.2017.01.008&partnerID=40&md5=a9045bb325503f8d42b2dfa3a2ffbfd2","Department of Brain and Cognitive Engineering, Korea University, Seoul 02841, South Korea; Biomedical Research Imaging Center and Department of Radiology, University of North Carolina at Chapel Hill, NC 27599, United States","Suk, H.-I., Department of Brain and Cognitive Engineering, Korea University, Seoul 02841, South Korea; Lee, S.-W., Department of Brain and Cognitive Engineering, Korea University, Seoul 02841, South Korea; Shen, D., Department of Brain and Cognitive Engineering, Korea University, Seoul 02841, South Korea, Biomedical Research Imaging Center and Department of Radiology, University of North Carolina at Chapel Hill, NC 27599, United States","Recent studies on brain imaging analysis witnessed the core roles of machine learning techniques in computer-assisted intervention for brain disease diagnosis. Of various machine-learning techniques, sparse regression models have proved their effectiveness in handling high-dimensional data but with a small number of training samples, especially in medical problems. In the meantime, deep learning methods have been making great successes by outperforming the state-of-the-art performances in various applications. In this paper, we propose a novel framework that combines the two conceptually different methods of sparse regression and deep learning for Alzheimer's disease/mild cognitive impairment diagnosis and prognosis. Specifically, we first train multiple sparse regression models, each of which is trained with different values of a regularization control parameter. Thus, our multiple sparse regression models potentially select different feature subsets from the original feature set; thereby they have different powers to predict the response values, i.e., clinical label and clinical scores in our work. By regarding the response values from our sparse regression models as target-level representations, we then build a deep convolutional neural network for clinical decision making, which thus we call ‘Deep Ensemble Sparse Regression Network.’ To our best knowledge, this is the first work that combines sparse regression models with deep neural network. In our experiments with the ADNI cohort, we validated the effectiveness of the proposed method by achieving the highest diagnostic accuracies in three classification tasks. We also rigorously analyzed our results and compared with the previous studies on the ADNI cohort in the literature. © 2017 Elsevier B.V.","Alzheimer's disease; Convolutional neural network; Deep ensemble learning; Sparse regression model","Artificial intelligence; Brain mapping; Clustering algorithms; Computer aided analysis; Computer aided diagnosis; Computer aided instruction; Convolution; Data handling; Decision making; Deep neural networks; Diagnosis; Learning algorithms; Learning systems; Medical problems; Neural networks; Neurodegenerative diseases; Neuroimaging; Regression analysis; Alzheimer's disease; Clinical decision making; Convolutional neural network; Diagnosis and prognosis; Ensemble learning; Machine learning techniques; Sparse regression; State-of-the-art performance; Deep learning; aged; Alzheimer disease; Article; brain disease; clinical decision making; clinical effectiveness; deep ensemble learning; female; human; learning algorithm; major clinical study; male; mathematical computing; mild cognitive impairment; nerve cell network; predictive value; priority journal; prognosis; regression analysis; scoring system; sparse regression model"
"Fang F., Nguyen T.H., Pickles R., Lam W.Y., Clements G.R., An B., Singh A., Schwedock B.C., Tambe M., Lemieux A.","PAWS - A deployed game-theoretic application to combat poaching",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021456044&partnerID=40&md5=b495a611851b700b8308c357dc5df221","Center for Research on Computation and Society (CRCS), Harvard University, United States; University of Michigan, United States; Tiger Program, Panthera, United States; Kenyir Research Institute, Universiti Malaysia Terengganu, Malaysia; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Wharton School of Business, United States; University of Southern California, United States; CAIS, USC Center for AI for Society, United States; Netherlands Institute for the Study of Crime and Law Enforcement, Netherlands","Fang, F., Center for Research on Computation and Society (CRCS), Harvard University, United States; Nguyen, T.H., University of Michigan, United States; Pickles, R., Tiger Program, Panthera, United States; Lam, W.Y., Kenyir Research Institute, Universiti Malaysia Terengganu, Malaysia; Clements, G.R., Kenyir Research Institute, Universiti Malaysia Terengganu, Malaysia; An, B., School of Computer Science and Engineering, Nanyang Technological University, Singapore; Singh, A., Wharton School of Business, United States; Schwedock, B.C., University of Southern California, United States; Tambe, M., CAIS, USC Center for AI for Society, United States; Lemieux, A., Netherlands Institute for the Study of Crime and Law Enforcement, Netherlands","Poaching is considered a major driver for the population drop of key species such as tigers, elephants, and rhinos, which can be detrimental to whole ecosystems. While conducting foot patrols is the most commonly used approach in many countries to prevent poaching, such patrols often do not make the best use of the limited patrolling resources. Copyright © 2017, Association for the Advancement of Artificial Intelligence. All rights reserved.",,"Game-theoretic; Artificial intelligence"
"Ojha V.K., Abraham A., Snášel V.","Ensemble of heterogeneous flexible neural trees using multiobjective genetic programming",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992080670&doi=10.1016%2fj.asoc.2016.09.035&partnerID=40&md5=c5e51b40fd0486d3de25085afa2ee589","IT4Innovations, VŠB-Technical University of Ostrava, Ostrava, Czech Republic; Machine Intelligence Research Labs (MIR Labs), Auburn, WA, United States","Ojha, V.K., IT4Innovations, VŠB-Technical University of Ostrava, Ostrava, Czech Republic; Abraham, A., Machine Intelligence Research Labs (MIR Labs), Auburn, WA, United States; Snášel, V., IT4Innovations, VŠB-Technical University of Ostrava, Ostrava, Czech Republic","Machine learning algorithms are inherently multiobjective in nature, where approximation error minimization and model's complexity simplification are two conflicting objectives. We proposed a multiobjective genetic programming (MOGP) for creating a heterogeneous flexible neural tree (HFNT), tree-like flexible feedforward neural network model. The functional heterogeneity in neural tree nodes was introduced to capture a better insight of data during learning because each input in a dataset possess different features. MOGP guided an initial HFNT population towards Pareto-optimal solutions, where the final population was used for making an ensemble system. A diversity index measure along with approximation error and complexity was introduced to maintain diversity among the candidates in the population. Hence, the ensemble was created by using accurate, structurally simple, and diverse candidates from MOGP final population. Differential evolution algorithm was applied to fine-tune the underlying parameters of the selected candidates. A comprehensive test over classification, regression, and time-series datasets proved the efficiency of the proposed algorithm over other available prediction methods. Moreover, the heterogeneous creation of HFNT proved to be efficient in making ensemble system from the final population. © 2016 Elsevier B.V.","Approximation; Ensemble; Feature selection; Flexible neural tree; Pareto-based multiobjectives","Approximation algorithms; Artificial intelligence; Classification (of information); Complex networks; Evolutionary algorithms; Feature extraction; Feedforward neural networks; Forestry; Genetic algorithms; Genetic programming; Learning algorithms; Learning systems; Optimization; Pareto principle; Approximation; Differential evolution algorithms; Ensemble; Flexible neural trees; Functional heterogeneity; Multi objective; Multiobjective genetic programming; Pareto optimal solutions; Trees (mathematics)"
"Dubois D., Lorini E., Prade H.","The Strength of Desires: A Logical Approach",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014711260&doi=10.1007%2fs11023-017-9426-5&partnerID=40&md5=17d059e99a9db82b606f9f7c142b038e","IRIT-CNRS, Université Paul Sabatier, Toulouse Cedex 09, France","Dubois, D., IRIT-CNRS, Université Paul Sabatier, Toulouse Cedex 09, France; Lorini, E., IRIT-CNRS, Université Paul Sabatier, Toulouse Cedex 09, France; Prade, H., IRIT-CNRS, Université Paul Sabatier, Toulouse Cedex 09, France","The aim of this paper is to propose a formal approach to reasoning about desires, understood as logical propositions which we would be pleased to make true, also acknowledging the fact that desire is a matter of degree. It is first shown that, at the static level, desires should satisfy certain principles that differ from those to which beliefs obey. In this sense, from a static perspective, the logic of desires is different from the logic of beliefs. While the accumulation of beliefs tend to reduce the remaining possible worlds they point at, the accumulation of desires tends to increase the set of states of affairs tentatively considered as satisfactory. Indeed beliefs are expected to be closed under conjunctions, while, in the positive view of desires developed here, one can argue that endorsing φ∨ ψ as a desire means to desire φ and to desire ψ. However, desiring φ and ¬ φ at the same time is not usually regarded as rational, since it does not make much sense to desire one thing and its contrary at the same time. Thus when a new desire is added to the set of desires of an agent, a revision process may be necessary. Just as belief revision relies on an epistemic entrenchment relation, desire revision is based on a hedonic entrenchment relation satisfying other properties, due to the different natures of belief and desire. While epistemic entrenchment relations are known to be qualitative necessity relations (in the sense of possibility theory), hedonic relations obeying a set of reasonable postulates correspond to another set-function in possibility theory, called guaranteed possibility, that drive well-behaved desire revision operations. Then the general framework of possibilistic logic provides a syntactic setting for encoding desire change. The paper also insists that desires should be carefully distinguished from goals. © 2017, Springer Science+Business Media Dordrecht.","Desire; Possibility theory; Revision","Artificial intelligence; Philosophical aspects; Belief revision; Desire; Formal approach; Logical approaches; Other properties; Possibilistic logic; Possibility theory; Revision; Computer circuits"
"Coelho C., Vicente H., Rosário Martins M., Lima N., Neves M., Neves J.","An assessment of environmental and toxicological risk to pesticide exposure based on a case-based approach to computing",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014717591&doi=10.1088%2f1742-6596%2f52%2f1%2f012091&partnerID=40&md5=7f884ff5348ea6b959ec19b4e85fd4b3","Departamento de Química, Escola de Ciências e Tecnologia, Universidade de Évora, Évora, Portugal; Centro Algoritmi, Universidade Do Minho, Braga, Portugal; Departamento de Química, Laboratório HERCULES, Escola de Ciências e Tecnologia, Universidade de Évora, Évora, Portugal; Centro de Engenharia Biológica, Micoteca da Universidade Do Minho, Universidade Do Minho, Braga, Portugal; Deloitte, London, United Kingdom","Coelho, C., Departamento de Química, Escola de Ciências e Tecnologia, Universidade de Évora, Évora, Portugal; Vicente, H., Departamento de Química, Escola de Ciências e Tecnologia, Universidade de Évora, Évora, Portugal, Centro Algoritmi, Universidade Do Minho, Braga, Portugal; Rosário Martins, M., Departamento de Química, Laboratório HERCULES, Escola de Ciências e Tecnologia, Universidade de Évora, Évora, Portugal; Lima, N., Centro de Engenharia Biológica, Micoteca da Universidade Do Minho, Universidade Do Minho, Braga, Portugal; Neves, M., Deloitte, London, United Kingdom; Neves, J., Centro Algoritmi, Universidade Do Minho, Braga, Portugal","Pesticide environmental fate and toxicity depends on its physical and chemical features, the soil composition, soil adsorption, as well as residues that may be found in different soil slots. Indeed, pesticide degradation in soil may be influenced by either biotic or abiotic factors. In addition, the toxicity of pesticides for living organisms depends on their adsorption, distribution, biotransformation, dissemination of metabolites together with interaction with cellular macromolecules and excretion. Biotransformation may result in the formation of less toxic and/or more toxic metabolites, while other processes determine the balance between toxic and a nontoxic upcoming. Aggregate exposure and risk assessment involve multiple pathways and routes, including the potential for pesticide residues in food and drinking water, in addition to residues from pesticide use in residential and non-occupational environments. Therefore, this work will focus on the development of a decision support system to assess the environmental and toxicological risk to pesticide exposure, built on top of a Logic Programming approach to Knowledge Representation and Reasoning, complemented with a Case Based attitude to computing. The proposed solution is unique in itself, once it caters for the explicit treatment of incomplete, unknown, or even self-contradictory information, either in terms of a qualitative or quantitative setting. © Published under licence by IOP Publishing Ltd.",,"Artificial intelligence; Biology; Case based reasoning; Chemical contamination; Computation theory; Decision support systems; Environmental protection; Knowledge representation; Logic programming; Metabolites; Potable water; Risk assessment; Soils; Toxicity; Aggregate exposure; Case-based approach; Environmental fate; Explicit treatments; Knowledge representation and reasoning; Occupational environment; Pesticide degradation; Pesticide exposure; Pesticides"
