Authors,Title,Year,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Vaskova H., Kolomaznik K.","Modeling the operating costs for production of the hydrolyzate",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026786655&doi=10.1007%2f978-3-319-53934-8_14&partnerID=40&md5=4d077841f524143b3c7f23313d09ea7b","Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi 4511, Zlín, Czech Republic","Vaskova, H., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi 4511, Zlín, Czech Republic; Kolomaznik, K., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi 4511, Zlín, Czech Republic","Nowadays, the waste management is an important issue. In this paper a mathematic modeling of the main operating costs for production of collagen hydrolyzate from leather shavings is presented. The model is based on physical and chemical ongoing processes in the reactor and other parts of the production system, such as kinetics of the hydrolysis, mass and dry matter balances and protein balance in equilibrium. The aim is to determine optimal time of hydrolysis reaction, optimal mass fraction of decomposed protein and hence the main operating costs. The modeling is performed for a batch reactor and pilot plant conditions. © Springer International Publishing AG 2018.","Collagen hydrolyzate; Modeling; Operating costs; Protein; Waste","Batch reactors; Collagen; Costs; Hydrolysis; Models; Pilot plants; Proteins; Waste management; Wastes; Dry matters; Hydrolysis reaction; Leather shavings; Mass fraction; Mathematic model; Optimal time; Production system; Operating costs"
"Solano A., Ugalde F., Gómez J., Sánchez L.","An augmented reality application to enhance the children’s engagement in an early development method for mathematics literacy",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022326166&doi=10.1007%2f978-3-319-60492-3_39&partnerID=40&md5=87e06167cd9d79a2c65f1363b5da738a","Universidad de Costa Rica, San Pedro, San José, Costa Rica","Solano, A., Universidad de Costa Rica, San Pedro, San José, Costa Rica; Ugalde, F., Universidad de Costa Rica, San Pedro, San José, Costa Rica; Gómez, J., Universidad de Costa Rica, San Pedro, San José, Costa Rica; Sánchez, L., Universidad de Costa Rica, San Pedro, San José, Costa Rica","With the increase on the use of mobile devices in children below the ages of seven and the expansion of app stores, efforts to produce different mathematic learning mobile applications have been made. Children that age, however, are not always able to effectively use and commit with such application due to interaction barriers with them. In this paper, we present the design process and description of a mathematics learning application meant to overcome these barriers. Applying HCI techniques, a mobile application that implements the Doman Method for early development was designed. Using non-traditional interactions and augmented reality technologies, the system presents an intuitive interface that helps breaking the understanding barrier with children. Finally, we discuss an evaluation carried out by several experts to assess the achievement of a friendly-user and intuitive application design to enhance the engagement of children to the application and as such to the Doman Method. © Springer International Publishing AG 2018.","Augmented reality; Cognitive walkthrough; Doman method; Early development; Human-Computer interactions; Mathematic learning; Mobile children applications; Parallel design","Augmented reality; Computer aided instruction; Human computer interaction; Mobile computing; Mobile devices; Mobile telecommunication systems; Cognitive walkthrough; Doman method; Early development; Mathematic learning; Parallel design; Education"
"Li Z.-X., Huang L.-L., Liu C., Formichella L., Zhang Y., Wang Y.-M., Zhang L., Ma J.-L., Liu W.-D., Ulm K., Wang J.-X., Zhang L., Bajbouj M., Li M., Vieth M., Quante M., Zhou T., Wang L.-H., Suchanek S., Soutschek E., Schmid R., Classen M., You W.-C., Gerhard M., Pan K.-F.","Cut-off optimization for 13C-urea breath test in a community-based trial by mathematic, histology and serology approach",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019964254&doi=10.1038%2fs41598-017-02180-7&partnerID=40&md5=2fac17c6614c0efa516df08edccc2849","Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Healthy Bureau of Linqu County, Shandong, China; Institute of Pathology, Klinikum Bayreuth, Preuschwitzer Str. 101, Bayreuth, Germany; Charles University, Central Military Hospital Prague, Ovocný trh 3-5, Prague, Czech Republic; Mikrogen GmbH, Floriansbogen 2-4, Neuried, Munich, Germany; International Digestive Cancer Alliance, Munich, Germany; German Centre of Infection Research, Partner Site Munich, Munich, Germany","Li, Z.-X., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Huang, L.-L., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Liu, C., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Formichella, L., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Zhang, Y., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Wang, Y.-M., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Zhang, L., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Ma, J.-L., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Liu, W.-D., Healthy Bureau of Linqu County, Shandong, China; Ulm, K., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Wang, J.-X., Healthy Bureau of Linqu County, Shandong, China; Zhang, L., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Bajbouj, M., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Li, M., Healthy Bureau of Linqu County, Shandong, China; Vieth, M., Institute of Pathology, Klinikum Bayreuth, Preuschwitzer Str. 101, Bayreuth, Germany; Quante, M., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Zhou, T., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Wang, L.-H., Healthy Bureau of Linqu County, Shandong, China; Suchanek, S., Charles University, Central Military Hospital Prague, Ovocný trh 3-5, Prague, Czech Republic; Soutschek, E., Mikrogen GmbH, Floriansbogen 2-4, Neuried, Munich, Germany; Schmid, R., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany; Classen, M., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany, International Digestive Cancer Alliance, Munich, Germany; You, W.-C., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China; Gerhard, M., Technische Universität München, Klinikum Rechts der Isar, Trogerstr. 30, Munich, Germany, German Centre of Infection Research, Partner Site Munich, Munich, Germany; Pan, K.-F., Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education/Beijing, Department of Cancer Epidemiology, Peking University Cancer Hospital and Institute, 52 Fu-cheng Road, Hai-dian District, Beijing, China","The performance of diagnostic tests in intervention trials of Helicobacter pylori (H.pylori) eradication is crucial, since even minor inaccuracies can have major impact. To determine the cut-off point for 13C-urea breath test (13C-UBT) and to assess if it can be further optimized by serologic testing, mathematic modeling, histopathology and serologic validation were applied. A finite mixture model (FMM) was developed in 21,857 subjects, and an independent validation by modified Giemsa staining was conducted in 300 selected subjects. H.pylori status was determined using recomLine H.pylori assay in 2,113 subjects with a borderline 13C-UBT results. The delta over baseline-value (DOB) of 3.8 was an optimal cut-off point by a FMM in modelling dataset, which was further validated as the most appropriate cut-off point by Giemsa staining (sensitivity = 94.53%, specificity = 92.93%). In the borderline population, 1,468 subjects were determined as H.pylori positive by recomLine (69.5%). A significant correlation between the number of positive H.pylori serum responses and DOB value was found (rs = 0.217, P &lt; 0.001). A mathematical approach such as FMM might be an alternative measure in optimizing the cut-off point for 13C-UBT in community-based studies, and a second method to determine H.pylori status for subjects with borderline value of 13C-UBT was necessary and recommended. © 2017 The Author(s).",,
"Ma Z., Bao H., Roskilly A.P.","Study on solidification process of sodium acetate trihydrate for seasonal solar thermal energy storage",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025177180&doi=10.1016%2fj.solmat.2017.07.024&partnerID=40&md5=3ba65ad61c14866fb021f93ce83e11ae","Sir Joseph Swan Centre for Energy Research, Newcastle University, Newcastle upon Tyne, United Kingdom","Ma, Z., Sir Joseph Swan Centre for Energy Research, Newcastle University, Newcastle upon Tyne, United Kingdom; Bao, H., Sir Joseph Swan Centre for Energy Research, Newcastle University, Newcastle upon Tyne, United Kingdom; Roskilly, A.P., Sir Joseph Swan Centre for Energy Research, Newcastle University, Newcastle upon Tyne, United Kingdom","The phase change of sodium acetate (SA) aqueous solution to sodium acetate trihydrate (SAT) requires large supercooling degree, then the aqueous solution can be at liquid state at fairly low temperature without releasing the stored latent heat. Such a feature makes SAT a promising material for seasonal solar thermal energy storage. The present study firstly summarized the thermo-physical properties of the solid SAT and liquid SA aqueous solution at different temperatures and concentrations, including equilibrium temperatures, densities, specific heats and thermal conductivities. The calculation methods of these properties have been established. Secondly, with the aid of the above properties, a mathematic model of the thermal discharge process of the storage system, i.e. the solidification process of supercooled SA aqueous solution, was built based on the heat transfer between the phase changing material within a single storage tube and the external flowing heat transfer fluid (HTF). The experimentally obtained SAT crystal growth rate and the enthalpy change of solidifying supercooled SA aqueous solution were employed to aid the modelling. The discharge temperature and thermal power of the storage system were numerically obtained and analysed. The influence of the ambient temperature, the mass flow rate as well as the heat transfer coefficient of the HTF on the thermal discharge performance were discussed. Finally, the seasonal thermal storage density of SAT was given and compared to that of water and some sorption materials. © 2017 The Authors","Energy density; Modelling; Sodium acetate trihydrate; Solidification process; Thermo-physical properties","Energy storage; Heat storage; Heat transfer; Models; Physical properties; Sodium; Solar energy; Solar heating; Solidification; Solutions; Storage (materials); Supercooling; Temperature; Thermal energy; Discharge temperature; Energy density; Equilibrium temperatures; Phase changing materials; Seasonal solar thermal energy storages; Sodium acetate trihydrate; Solidification process; Thermo-physical property; Thermal conductivity"
"Kaluzna M., Kuras A., Pulawska J.","Validation of reference genes for the normalization of the RT-qPCR gene expression of virulence genes of Erwinia amylovora in apple shoots",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019634115&doi=10.1038%2fs41598-017-02078-4&partnerID=40&md5=a185c5b68e1ba8d0e0ae9289fd905051","Research Institute of Horticulture, Konstytucji 3 Maja 1/3, Skierniewice, Poland","Kaluzna, M., Research Institute of Horticulture, Konstytucji 3 Maja 1/3, Skierniewice, Poland; Kuras, A., Research Institute of Horticulture, Konstytucji 3 Maja 1/3, Skierniewice, Poland; Pulawska, J., Research Institute of Horticulture, Konstytucji 3 Maja 1/3, Skierniewice, Poland","To study the expression of pathogenicity-related genes in Erwinia amylovora, seven candidate reference genes (ffh, glyA, gyrA, proC, pykA, recA, rpoB) were selected and validated with the following five different mathematic algorithms: geNorm, NormFinder, BestKeeper, the delta CT method and the RefFinder web-based tool. An overall comprehensive ranking output from each of the selected software programs revealed that proC and recA, followed by ffh and pykA, were the most stably expressed genes and can be recommended for the normalization of RT-qPCR data. A combination of the three reference genes, proC, recA and ffh, allowed for the accurate expression analysis of amsB and hrpN genes and the calculation of their fold change in E. amylovora after its infection of susceptible and resistant apple cultivars. To the best of our knowledge, this is the first study presenting a list of the most suitable reference genes for use in the relative quantification of target gene expression in E. amylovora in planta, selected on the basis of a multi-algorithm analysis. © The Author(s) 2017.",,"apple; Erwinia amylovora; gene expression; nonhuman; quantitative study; shoot; validation process; virulence"
"Expósito N., Kumar V., Sierra J., Schuhmacher M., Giménez Papiol G.","Performance of Raphidocelis subcapitata exposed to heavy metal mixtures",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019996621&doi=10.1016%2fj.scitotenv.2017.05.177&partnerID=40&md5=c65634f988fcd9bb9b469137b34c1287","Environmental Engineering Laboratory, Chemical Engineering Department, Universitat Rovira i Virgili, Av. Països Catalans 26, Tarragona, Catalonia, Spain; Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain; Faculty of Pharmacy, Universitat de Barcelona, Avda Joan XXIII s/n, Barcelona, Catalonia, Spain","Expósito, N., Environmental Engineering Laboratory, Chemical Engineering Department, Universitat Rovira i Virgili, Av. Països Catalans 26, Tarragona, Catalonia, Spain, Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain; Kumar, V., Environmental Engineering Laboratory, Chemical Engineering Department, Universitat Rovira i Virgili, Av. Països Catalans 26, Tarragona, Catalonia, Spain, Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain; Sierra, J., Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain, Faculty of Pharmacy, Universitat de Barcelona, Avda Joan XXIII s/n, Barcelona, Catalonia, Spain; Schuhmacher, M., Environmental Engineering Laboratory, Chemical Engineering Department, Universitat Rovira i Virgili, Av. Països Catalans 26, Tarragona, Catalonia, Spain, Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain; Giménez Papiol, G., Environmental Engineering Laboratory, Chemical Engineering Department, Universitat Rovira i Virgili, Av. Països Catalans 26, Tarragona, Catalonia, Spain, Laboratory of Toxicology and Environmental Health, School of Medicine, IISPV, Universitat Rovira i Virgili, Sant Llorenç 21, Reus, Catalonia, Spain","Microalgae growth inhibition assays are candidates for referent ecotoxicological assays, and are a fundamental part in the strategy to reduce the use of fish and other animal models in aquatic toxicology. In the present work, the performance of Raphidocelis subcapitata exposed to heavy metals following standardized growth inhibition assays has been assessed in three different scenarios: 1) dilutions of single heavy metals, 2) artificial mixture of heavy metals at similar levels than those found in natural rivers and, 3) natural samples containing known mixtures of contaminants (heavy metals). Chemical speciation of heavy metals has been estimated with Eh-pH diagram and Visual MINTEQ software; heavy metal and free heavy metal ion concentrations were used as input data, together with microalgae growth inhibition, for Dr. Fit software. The final goal was to assess the suitability of the ecotoxicological test based on the growth inhibition of microalgae cultures, and the mathematic models based on these results, for regulatory and decision-making purposes. The toxicity of a given heavy metal is not only determined by its chemical speciation; other chemical and biological interaction play an important role in the final toxicity. Raphidocelis subcapitata 48h-h-EC50 for tested heavy metals (especially Cu and Zn) were in agreement with previous studies, when ion metal bioavailability was assumed to be 100%. Nevertheless, the calculated growth inhibition was not in agreement with the obtained inhibition when exposed to the artificial mixture of heavy metals or the natural sample. Interactions between heavy metal ions and the compounds of the culture media and/or the natural sample determine heavy metal bioavailability, and eventually their toxicity. More research is needed for facing the challenge posed by pollutant mixtures as they are present in natural environments, and make microalgae-based assays suitable for pollution management and regulatory purposes. © 2017 Elsevier B.V.","Chemical speciation; EC50; Heavy metal; Microalgae growth inhibition; Mixtures; Toxicity","Algae; Biochemistry; Chemical speciation; Copper; Decision making; Heavy metal compounds; Heavy metals; Metal ions; Metals; Microorganisms; Mixtures; Pollution; Toxicity; Chemical and biologicals; EC50; Ecotoxicological tests; Growth inhibition; Metal bioavailability; Natural environments; Pollutant mixtures; Pollution management; River pollution; Animalia; Raphidocelis subcapitata"
"Zhou F., Chen X., Tan H., Chai X.","Optical-path-difference analysis and compensation for asymmetric binocular catadioptric vision measurement",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020308907&doi=10.1016%2fj.measurement.2017.05.031&partnerID=40&md5=a422d37d6d46c5558b5facddbb713bf6","Key Laboratory of Precision Opto-mechatronics Technology, Ministry of Education, Beihang University, Beijing, China; Department of Electronic Information Engineering, Foshan University, Foshan, China","Zhou, F., Key Laboratory of Precision Opto-mechatronics Technology, Ministry of Education, Beihang University, Beijing, China; Chen, X., Key Laboratory of Precision Opto-mechatronics Technology, Ministry of Education, Beihang University, Beijing, China; Tan, H., Department of Electronic Information Engineering, Foshan University, Foshan, China; Chai, X., Key Laboratory of Precision Opto-mechatronics Technology, Ministry of Education, Beihang University, Beijing, China","In order to determine the influence of optical path difference (OPD) in an asymmetric binocular catadioptric system, we analyzed a production law of unequal optical paths and modified a catadioptric stereovision structure. Firstly, the measurement problem caused by the OPD is analyzed based on a traditional asymmetric binocular catadioptric structure. Secondly, the reflective mirror with a shorter optical path is modified to a curved lens to compensate for the OPD. The mathematic model with an aplanatism is established in the traditional asymmetric structure. Finally, a modified design of the traditional prototype is presented depended on a planar mirror and a curved lens. Experimental results show that the demonstrated structure without the OPD is more effective for improving the measurement accuracy. © 2017","Binocular vision; Catadioptric stereovision; Optical path difference","Binocular vision; Binoculars; Bins; Mirrors; Asymmetric structures; Catadioptric vision; Mathematic model; Measurement accuracy; Measurement problems; Modified designs; Optical path difference; Reflective mirrors; Lenses"
"Zhang Y., Peng Y., Ji S., Qi J., Wang S.","Numerical modeling and economic evaluation of two multi-effect vacuum membrane distillation (ME-VMD) processes",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020302873&doi=10.1016%2fj.desal.2017.05.032&partnerID=40&md5=fc69d440e7228ce97ba0265ec3f40109","Beijing Key Laboratory for Green Catalysis and Separation, Department of Chemistry and Chemical Engineering, College of Environmental and Energy Engineering, Beijing University of Technology, Beijing, China; Department of Chemical Engineering, Curtin University, GPO Box U1987, Bentley, Western Australia, Australia","Zhang, Y., Beijing Key Laboratory for Green Catalysis and Separation, Department of Chemistry and Chemical Engineering, College of Environmental and Energy Engineering, Beijing University of Technology, Beijing, China; Peng, Y., Beijing Key Laboratory for Green Catalysis and Separation, Department of Chemistry and Chemical Engineering, College of Environmental and Energy Engineering, Beijing University of Technology, Beijing, China; Ji, S., Beijing Key Laboratory for Green Catalysis and Separation, Department of Chemistry and Chemical Engineering, College of Environmental and Energy Engineering, Beijing University of Technology, Beijing, China; Qi, J., Beijing Key Laboratory for Green Catalysis and Separation, Department of Chemistry and Chemical Engineering, College of Environmental and Energy Engineering, Beijing University of Technology, Beijing, China; Wang, S., Department of Chemical Engineering, Curtin University, GPO Box U1987, Bentley, Western Australia, Australia","A hollow fiber membrane module cascaded with a heat exchanger to recover the latent heat of vapor is a one-stage vacuum membrane distillation (VMD) unit. In this work, two multi-effect VMD (ME-VMD) systems, first-stage heating and inter-stage heating processes with n one-stage-VMD units cascaded together, were firstly considered and compared in terms of efficiency using computational fluid dynamics (CFD). The inter-stage heating ME-VMD system had a relatively high water recovery, however, its gained output ratio (GOR) was low and the system complexity and operating cost increased due to the presence of the heaters in each stage. Thus, we focused on the first-stage heating ME-VMD system. An ME-VMD system containing 30 one-stage VMD units with first-stage heating was then evaluated coupling with the mathematic model of single module via CFD, and an economic evaluation model was established. The effects of feed inlet temperature and stage number on the distillate flux, water recovery and GOR were comprehensively discussed. The highest GOR could reach to 12.1. The water production cost mainly depended on the heat exhaustion and the lowest cost was estimated at $0.59/t for an optimal four-stage ME-VMD system with first-stage heating, which can be competitive to the reverse osmosis technique. © 2017 Elsevier B.V.","GOR; Hollow fiber; Mathematic model; Multi-effect vacuum membrane distillation (ME-VMD); Water product cost",
"Zhao H., Sun T., Sun C., Song Q., Li Y., Wang X., Shu X.","Strengthening the results of destroying the caking property of CBC in weak oxygen and upgrading pyrolysis products",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019836733&doi=10.1016%2fj.fuel.2017.05.040&partnerID=40&md5=04bfe991ff0033e25729b3c03307395b","School of Civil and Resource Engineering, University of Science & Technology Beijing, Beijing, China; School of Chemical and Environmental Engineering, China University of Mining & Technology (Beijing), Beijing, China; College of Energy and Power Engineering, Inner Mongolia University of Technology, Hohhot, China","Zhao, H., School of Civil and Resource Engineering, University of Science & Technology Beijing, Beijing, China; Sun, T., School of Civil and Resource Engineering, University of Science & Technology Beijing, Beijing, China; Sun, C., School of Civil and Resource Engineering, University of Science & Technology Beijing, Beijing, China; Song, Q., School of Chemical and Environmental Engineering, China University of Mining & Technology (Beijing), Beijing, China; Li, Y., College of Energy and Power Engineering, Inner Mongolia University of Technology, Hohhot, China; Wang, X., School of Chemical and Environmental Engineering, China University of Mining & Technology (Beijing), Beijing, China; Shu, X., School of Chemical and Environmental Engineering, China University of Mining & Technology (Beijing), Beijing, China","This paper is aimed to characterize the pyrolysis reaction characteristics of caking bituminous coal after being pre-oxidized to break the caking property in a fixed bed reactor. The effects of different pre-oxidation temperature, carrier gas flow and oxygen volume fraction on the destruction of the caking property were investigated. The distribution of the pyrolysis products, tar composition and gasification reaction reactivity were analyzed using the selected instruments and calculated by mathematic models. The experimental results showed that the weight loss of the raw coal (ZC) and the demineralized coal (ZC-D) increased gradually, with that of ZC-D always higher than that of ZC under same experimental conditions. When the caking index of ZC decreased from 90.05 to 57.88, the heavy tar content decreased from 53.79% to 42.51%, while the light tar content increased from 46.21% to 57.49%, which indicates that the pre-oxidation effectively reduced its caking property and accelerated the release of the volatile matter from coal particles. After pre-oxidation, the specific surface area, average pore diameter and total pore volume of char increased, which improved the gasification reactivity of char as the destruction of caking property had been enhanced. © 2017 Elsevier Ltd","Caking bituminous coal; Caking property; Pre-oxidation; Pyrolysis; Tar composition",
"Yingming G., Mingdong X., Huanyue Z., Xu G., Ping L., Nianyu Z.","Study on distributed individuation lighting model and analysis to energy consumption character",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021119642&doi=10.1016%2fj.enbuild.2017.06.036&partnerID=40&md5=535b8e558b60555c401c4f79b2d4f415","Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China; School of Materials Science and Engineering, Dalian University of Technology, Dalian, Liaoning, China","Yingming, G., Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China; Mingdong, X., Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China; Huanyue, Z., School of Materials Science and Engineering, Dalian University of Technology, Dalian, Liaoning, China; Xu, G., Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China; Ping, L., Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China; Nianyu, Z., Research Institute of Photonics, Dalian Polytechnic University, Dalian, Liaoning, China","Individuation lighting aims to provide each employee preferred illuminance in open office, considering individual difference to satisfaction degree of lighting. With linear programming model, targeting to minimal energy consumption, computed illuminance vector differs from preferred or expected illuminance vector in general. We used statistical analysis method to study the difference between expected and computed illuminance vector, taking into account it difficult to build mathematic model to present relationship between above mentioned two vectors. We introduced average-illuminance-difference and presented its relationship with amount of luminaire, the overall similarity between expected and computed illuminance vector could be observed directly through the relationship. Finally, we provided system structure of individuation lighting system. © 2017","Distributed lighting; Energy conservation; Individuation lighting; Optimization method","Energy conservation; Energy utilization; Linear programming; Vectors; Individual Differences; Lighting systems; Linear programming models; Mathematic model; Optimization method; Satisfaction degrees; Statistical analysis methods; System structures; Lighting"
