Authors,Title,Link,Abstract,Author Keywords
"Wang Y., Jin X., Yu H.S., Truhlar D.G., He X.","Revised M06-L functional for improved accuracy on chemical reaction barrier heights, noncovalent interactions, and solid-state physics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026873566&doi=10.1073%2fpnas.1705670114&partnerID=40&md5=d9d08eb9c76d0bcf50a94c6000f83519","We present the revM06-L functional, which we designed by optimizing against a larger database than had been used for Minnesota 2006 local functional (M06-L) and by using smoothness restraints. The optimization strategy reduced the number of parameters from 34 to 31 because we removed some large terms that increased the required size of the quadrature grid and the number of self-consistent-field iterations. The mean unsigned error (MUE) of revM06-L on 422 chemical energies is 3.07 kcal/mol, which is improved from 3.57 kcal/mol calculated by M06-L. The MUE of revM06-L for the chemical reaction barrier height database (BH76) is 1.98 kcal/mol, which is improved by more than a factor of 2 with respect to the M06-L functional. The revM06-L functional gives the best result among local functionals tested for the noncovalent interaction database (NC51), with an MUE of only 0.36 kcal/mol, and the MUE of revM06-L for the solid-state lattice constant database (LC17) is half that for M06-L. The revM06-L functional also yields smoother potential curves, and it predicts more-accurate results than M06-L for seven out of eight diversified test sets not used for parameterization. We conclude that the revM06-L functional is well suited for a broad range of applications in chemistry and condensed-matter physics. © 2017, National Academy of Sciences. All rights reserved.","Chemical energetics; Chemical structures; Kohn−Sham density functional theory; Molecular thermochemistry; Solid-state physics"
"Wang X., Houston P.L., Bowman J.M.","A new (multi-reference configuration interaction) potential energy surface for H2CO and preliminary studies of roaming","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015970873&doi=10.1098%2frsta.2016.0194&partnerID=40&md5=2f018c0c0dfd7eba6044f1ea45aa9038","We report a new global potential energy surface (PES) for H2CO, based on precise fitting of roughly 67 000 MRCI/cc-pVTZ energies. This PES describes the global minimum, the cis-and trans-HCOH isomers, and barriers relevant to isomerization, formation of the molecular (H2+CO) and radical (H+HCO) products, and the loose so-called roaming transitionstate saddle point. The key features of the PES are reviewed and compared with a previous PES, denoted by PES04, based on five local fits that are 'stitched' together by switching functions (Zhang et al. 2004 J. Phys. Chem. A 108, 8980-8986 (doi:10.1021/ jp048339l)). Preliminary quasi-classical trajectory calculations are performed at the total energy of 36 233 cm?1 (103 kcal mol?1), relative to the H2CO global minimum, using the new PES, with a particular focus on roaming dynamics. When compared with the results from PES04, the new PES findings show similar rotational distributions, somewhat more roaming and substantially higher H2 vibrational excitation.","Kinetics; Quasi-classical trajectories; Roaming; RRKM theory; Unimolecular reactions"
"Yu Q., Bowman J.M.","Communication: VSCF/VCI vibrational spectroscopy of H7O3+ and H9O4+ using high-level, many-body potential energy surface and dipole moment surfaces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016646281&doi=10.1063%2f1.4979601&partnerID=40&md5=5df67f1f69443eb2664fb9352a6baf80","The vibrational spectra of protonated water clusters continue to be of great interest and a significant challenge to theory. We report high-level, coupled-mode anharmonic (VSCF/VCI) calculations of vibrational spectra of two protonated water clusters, H7O3+ and H9O4+, using the Watson Hamiltonian and new full-dimensional, high-level many-body potential energy and dipole moment surfaces. These many-body representations are first validated against direct CCSD(T)-F12b/aug-cc-pVTZ calculations of the double-harmonic spectra of these clusters. Then they are used with a 4-mode representation of the potential and 18 coupled modes to obtain the anharmonic coupled-mode spectra of these clusters. The calculated spectra agree well with recent Ar-tagged action spectra. In the case of H9O4+, a “side-by-side” comparison shows a very good agreement with virtually every experimental feature. © 2017 Author(s).",
"Li S.L., Truhlar D.G.","Full-dimensional ground- and excited-state potential energy surfaces and state couplings for photodissociation of thioanisole","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012261803&doi=10.1063%2f1.4975121&partnerID=40&md5=081fc13c2f857b16e258f0f7145a2ee0","Analytic potential energy surfaces (PESs) and state couplings of the ground and two lowest singlet excited states of thioanisole (C6H5SCH3) are constructed in a diabatic representation based on electronic structure calculations including dynamic correlation. They cover all 42 internal degrees of freedom and a wide range of geometries including the Franck-Condon region and the reaction valley along the breaking S-CH3 bond with the full ranges of the torsion angles. The parameters in the PESs and couplings are fitted to the results of smooth diabatic electronic structure calculations including dynamic electron correlation by the extended multi-configurational quasi-degenerate perturbation theory method for the adiabatic state energies followed by diabatization by the fourfold way. The fit is accomplished by the anchor points reactive potential method with two reactive coordinates and 40 nonreactive degrees of freedom, where the anchor-point force fields are obtained with a locally modified version of the QuickFF package. The PESs and couplings are suitable for study of the topography of the trilayer potential energy landscape and for electronically nonadiabatic molecular dynamics simulations of the photodissociation of the S-CH3 bond. © 2017 Author(s).",
"Tennyson J., Yurchenko S.N.","The ExoMol project: Software for computing large molecular line lists","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978828168&doi=10.1002%2fqua.25190&partnerID=40&md5=c82d2e15ebc8fd50f12289876ab1bb2e","The use of variational nuclear motion programs to compute line lists of transition frequencies and intensities is now a standard procedure. The ExoMol project has used this technique to generate line lists for studies of hot bodies such as the atmospheres of exoplanets and cool stars. The resulting line list can be huge: many contain 10 billion or more transitions. This software update considers changes made to our programs during the course of the project to allow for such calculations. This update considers three programs: Duo which computed vibronic spectra for diatomics, DVR3D which computes rotation-vibration spectra for triatomics, and TROVE which computes rotation-vibration spectra for general polyatomic systems. Important updates in functionality include the calculation of quasibound (resonance) states and Landé g-factors by Duo and the calculation of resonance states by DVR3D. Significant algorithmic improvements are reported for both DVR3D and TROVE. All three programs are publically available from ccpforge.cse.rl.ac.uk. Future developments are also considered. © 2016 Wiley Periodicals, Inc.","line intensities; linelists; nuclear motion; rotationvibration; variational methods"
"Dagdigian P.J., Kłos J., Warehime M., Alexander M.H.","Accurate transport properties for O(3P)-H and O(3P)-H2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993953225&doi=10.1063%2f1.4966150&partnerID=40&md5=d5c611877e467b3f923ab07316f49042","Transport properties for collisions of oxygen atoms with hydrogen atoms and hydrogen molecules have been computed by means of time-independent quantum scattering calculations. For the O(3P)-H(2S) interaction, potential energy curves for the four OH electronic states emanating from this asymptote were computed by the internally-contracted multi-reference configuration interaction method, and the R-dependent spin-orbit matrix elements were taken from Parlant and Yarkony [J. Chem. Phys. 110, 363 (1999)]. For the O(3P)-H2 interaction, diabatic potential energy surfaces were derived from internally contracted multi-reference configuration interaction calculations. Transport properties were computed for these two collision pairs and compared with those obtained with the conventional approach that employs isotropic Lennard-Jones (12-6) potentials. © 2016 Author(s).",
"Owens A., Yurchenko S.N., Yachmenev A., Tennyson J., Thiel W.","A highly accurate ab initio potential energy surface for methane","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987624954&doi=10.1063%2f1.4962261&partnerID=40&md5=3d3739fa95e4400ec3f98c8ef8c67d44","A new nine-dimensional potential energy surface (PES) for methane has been generated using state-of-the-art ab initio theory. The PES is based on explicitly correlated coupled cluster calculations with extrapolation to the complete basis set limit and incorporates a range of higher-level additive energy corrections. These include core-valence electron correlation, higher-order coupled cluster terms beyond perturbative triples, scalar relativistic effects, and the diagonal Born-Oppenheimer correction. Sub-wavenumber accuracy is achieved for the majority of experimentally known vibrational energy levels with the four fundamentals of 12CH4 reproduced with a root-mean-square error of 0.70 cm-1. The computed ab initio equilibrium C-H bond length is in excellent agreement with previous values despite pure rotational energies displaying minor systematic errors as J (rotational excitation) increases. It is shown that these errors can be significantly reduced by adjusting the equilibrium geometry. The PES represents the most accurate ab initio surface to date and will serve as a good starting point for empirical refinement. © 2016 Author(s).",
"Polyansky O.L., Ovsyannikov R.I., Kyuberis A.A., Lodi L., Tennyson J., Yachmenev A., Yurchenko S.N., Zobov N.F.","Calculation of rotation-vibration energy levels of the ammonia molecule based on an ab initio potential energy surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995802416&doi=10.1016%2fj.jms.2016.08.003&partnerID=40&md5=543fdc98856533109d4b992c76ac3c9c","An ab initio potential energy surface (PES) for gas-phase ammonia NH3 has been computed using the methodology pioneered for water (Polyansky et al., 2013). Multireference configuration interaction calculations are performed at about 50 000 points using the aug-cc-pCVQZ and aug-cc-pCV5Z basis sets and basis set extrapolation. Relativistic and adiabatic surfaces are also computed. The points are fitted to a suitable analytical form, producing the most accurate ab initio PES for this molecule available. The rotation-vibration energy levels are computed using nuclear motion program TROVE in both linearised and curvilinear coordinates. Better convergence is obtained using curvilinear coordinates. Our results are used to assign the visible spectrum of 14<sup/>NH3 recorded by Coy and Lehmann (1986). Rotation-vibration energy levels for the isotopologues NH2D, NHD2, ND3 and 15<sup/>NH3 are also given. An ab initio value for the dissociation energy D0 of 14<sup/>NH3 is also presented. © 2016 Elsevier Inc.","Ab initio; Ammonia; Dissociation energy; Global potential energy surface; Rovibrational levels"
"Ndengué S.A., Dawes R., Guo H.","A new set of potential energy surfaces for HCO: Influence of Renner-Teller coupling on the bound and resonance vibrational states","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976382056&doi=10.1063%2f1.4954374&partnerID=40&md5=4601c66a8f226a1065c0caf0de0cb233","It is commonly understood that the Renner-Teller effect can strongly influence the spectroscopy of molecules through coupling of electronic states. Here we investigate the vibrational bound states and low-lying resonances of the formyl radical treating the Renner-Teller coupled X2A′ and Ã2A″ states using the MultiConfiguration Time Dependent Hartree (MCTDH) method. The calculations were performed using the improved relaxation method for the bound states and a recently published extension to compute resonances. A new set of accurate global potential energy surfaces were computed at the explicitly correlated multireference configuration interaction (MRCI-F12) level and yielded remarkably close agreement with experiment in this application and thus enable future studies including photodissociation and collisional dynamics. The results show the necessity of including the large contribution from a Davidson correction in the electronic structure calculations in order to appreciate the relatively small effect of the Renner-Teller coupling on the states considered here. © 2016 Author(s).",
"Hu Q., Song H., Johnson C.J., Li J., Guo H., Continetti R.E.","Imaging a multidimensional multichannel potential energy surface: Photodetachment of H-(NH3) and NH4-","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977119044&doi=10.1063%2f1.4954187&partnerID=40&md5=5c28118c430d69a0ac33eee91a39f6fb","Probes of the Born-Oppenheimer potential energy surfaces governing polyatomic molecules often rely on spectroscopy for the bound regions or collision experiments in the continuum. A combined spectroscopic and half-collision approach to image nuclear dynamics in a multidimensional and multichannel system is reported here. The Rydberg radical NH4 and the double Rydberg anion NH4- represent a polyatomic system for benchmarking electronic structure and nine-dimensional quantum dynamics calculations. Photodetachment of the H-(NH3) ion-dipole complex and the NH4- DRA probes different regions on the neutral NH4 PES. Photoelectron energy and angular distributions at photon energies of 1.17, 1.60, and 2.33 eV compare well with quantum dynamics. Photoelectron-photofragment coincidence experiments indicate dissociation of the nascent NH4 Rydberg radical occurs to H + NH3 with a peak kinetic energy of 0.13 eV, showing the ground state of NH4 to be unstable, decaying by tunneling-induced dissociation on a time scale beyond the present scope of multidimensional quantum dynamics. © 2016 Author(s).",
